"cnpj_basico","cnae_principal","descricao_cnae","cep","bairro","municipio","municipio_nome","capital_social"
"18215949","A12","Desconhecido","2785","AL","82","Desconhecido","0.0"
"18215963","31","Desconhecido","6713","SP","11","Desconhecido","0.0"
"18215974","249","Desconhecido","5625","ES","27","Desconhecido","0.0"
"18215986","175","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18216000","1663","Desconhecido","6449","SP","17","Desconhecido","0.0"
"18216015","2a","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18216026","1184","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"12969402","39","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18216053","389","Desconhecido","6477","SP","11","Desconhecido","0.0"
"18216064","25","Desconhecido","5865","RJ","22","Desconhecido","0.0"
"18216076","181c","Desconhecido","2487","PE","81","Desconhecido","0.0"
"18216089","11","Desconhecido","5877","RJ","24","Desconhecido","0.0"
"18216106","101","Desconhecido","9701","DF","61","Desconhecido","0.0"
"18216117","1400","Desconhecido","6875","SP","19","Desconhecido","0.0"
"18216137","325","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18216148","738","Desconhecido","1389","CE","85","Desconhecido","0.0"
"18216161","220","Desconhecido","8117","SC","47","Desconhecido","0.0"
"18216169","127","Desconhecido","5869","RJ","21","Desconhecido","0.0"
"17486852","359","Desconhecido","6427","SP","11","Desconhecido","0.0"
"18216190","126","Desconhecido","4111","MG","32","Desconhecido","0.0"
"18216203","199","Desconhecido","7513","PR","41","Desconhecido","0.0"
"18216213","405","Desconhecido","7077","SP","11","Desconhecido","0.0"
"18216229","56","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18216243","395","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18216255","65","Desconhecido","9701","DF","61","Desconhecido","0.0"
"18216266","63","Desconhecido","5385","MG","35","Desconhecido","0.0"
"18216280","380","Desconhecido","6713","SP","11","Desconhecido","0.0"
"18216296","SN","Desconhecido","9785","GO","64","Desconhecido","0.0"
"18216306","1254","Desconhecido","7509","PR","46","Desconhecido","0.0"
"18216316","71","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18216329","12","Desconhecido","0255","AM","92","Desconhecido","0.0"
"18216343","31","Desconhecido","7113","SP","11","Desconhecido","0.0"
"18216353","125","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"13043157","622","Desconhecido","6361","SP","11","Desconhecido","0.0"
"18216375","3570","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18216392","358","Desconhecido","8461","PR","44","Desconhecido","0.0"
"18216402","96","Desconhecido","1567","CE","88","Desconhecido","0.0"
"18216415","308","Desconhecido","1389","CE","85","Desconhecido","0.0"
"18216429","18","Desconhecido","2785","AL","82","Desconhecido","0.0"
"07296319","505","Desconhecido","8771","RS","11","Desconhecido","0.0"
"77500049","1039","Desconhecido","7677","PR","42","Desconhecido","0.0"
"18216745","236","Desconhecido","4729","MG","33","Desconhecido","0.0"
"18216464","5801","Desconhecido","1587","CE","88","Desconhecido","0.0"
"18216478","SN","Desconhecido","2511","PE","81","Desconhecido","0.0"
"18216492","SN","Desconhecido","0939","MA","99","Desconhecido","0.0"
"18216504","51","Desconhecido","2473","PE","81","Desconhecido","0.0"
"18216514","299","Desconhecido","1745","RN","84","Desconhecido","0.0"
"18216526","45","Desconhecido","9425","GO","64","Desconhecido","0.0"
"34292797","170","Desconhecido","7587","PR","21","Desconhecido","0.0"
"18216551","243","Desconhecido","9571","GO","64","Desconhecido","0.0"
"18216562","800","Desconhecido","2583","PE","81","Desconhecido","0.0"
"18216577","951","Desconhecido","6515","SP","17","Desconhecido","0.0"
"18216587","435","Desconhecido","1761","RN","84","Desconhecido","0.0"
"18216599","115","Desconhecido","7107","SP","11","Desconhecido","0.0"
"29744778","50","Desconhecido","2451","PE","11","Desconhecido","0.0"
"18216625","1273B","Desconhecido","0427","PA","91","Desconhecido","0.0"
"18216636","406","Desconhecido","7149","SP","19","Desconhecido","0.0"
"18216644","03","Desconhecido","0427","PA","91","Desconhecido","0.0"
"18216656","S/N","Desconhecido","9701","DF","61","Desconhecido","0.0"
"18216670","SN","Desconhecido","9687","GO","62","Desconhecido","0.0"
"18216686","620","Desconhecido","9373","GO","62","Desconhecido","0.0"
"18216699","701","Desconhecido","9627","TO","63","Desconhecido","0.0"
"17513047","65","Desconhecido","9373","GO","62","Desconhecido","0.0"
"18216723","565","Desconhecido","8815","RS","53","Desconhecido","0.0"
"18216734","SN","Desconhecido","0503","PA","91","Desconhecido","0.0"
"18216750","14","Desconhecido","3849","BA","71","Desconhecido","0.0"
"18216763","220","Desconhecido","7721","PR","44","Desconhecido","0.0"
"15516672","615","Desconhecido","8677","RS","54","Desconhecido","0.0"
"18216783","118","Desconhecido","4719","MG","33","Desconhecido","0.0"
"18216793","91","Desconhecido","2531","PE","81","Desconhecido","0.0"
"17861457","482","Desconhecido","1599","CE","85","Desconhecido","0.0"
"18216818","SN","Desconhecido","9367","GO","62","Desconhecido","0.0"
"18216826","261","Desconhecido","8749","RS","51","Desconhecido","0.0"
"18216837","139","Desconhecido","3105","SE","75","Desconhecido","0.0"
"18216849","86 A","Desconhecido","2357","PE","81","Desconhecido","0.0"
"18216863","184","Desconhecido","3105","SE","79","Desconhecido","0.0"
"11802588","SN","Desconhecido","1066","GO","61","Desconhecido","0.0"
"17365650","246","Desconhecido","7691","PR","44","Desconhecido","0.0"
"18216897","10","Desconhecido","9701","DF","61","Desconhecido","0.0"
"17504851","181","Desconhecido","3573","BA","73","Desconhecido","0.0"
"18216914","480","Desconhecido","1389","CE","85","Desconhecido","0.0"
"18216924","43","Desconhecido","1975","PB","83","Desconhecido","0.0"
"18216938","48B","Desconhecido","2809","AL","82","Desconhecido","0.0"
"18216950","60","Desconhecido","7633","PR","43","Desconhecido","0.0"
"18216964","447","Desconhecido","6875","SP","19","Desconhecido","0.0"
"15095829","264","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18216984","293","Desconhecido","3993","BA","73","Desconhecido","0.0"
"18216998","1142","Desconhecido","1493","CE","85","Desconhecido","0.0"
"18217012","3","Desconhecido","0921","MA","98","Desconhecido","0.0"
"18217023","06","Desconhecido","9645","GO","64","Desconhecido","0.0"
"18217038","115","Desconhecido","7151","SP","11","Desconhecido","0.0"
"13781211","25","Desconhecido","9701","DF","61","Desconhecido","0.0"
"18217060","SN","Desconhecido","0292","PI","89","Desconhecido","0.0"
"18217072","1186","Desconhecido","8767","RS","54","Desconhecido","0.0"
"18217088","41","Desconhecido","8561","RS","51","Desconhecido","0.0"
"18217100","1111","Desconhecido","7915","PR","42","Desconhecido","0.0"
"18217113","325","Desconhecido","7667","PR","43","Desconhecido","0.0"
"18217129","01","Desconhecido","0134","MA","98","Desconhecido","0.0"
"18217139","SN","Desconhecido","9733","TO","63","Desconhecido","0.0"
"18217148","311","Desconhecido","5043","MG","38","Desconhecido","0.0"
"18217160","429","Desconhecido","5865","RJ","21","Desconhecido","0.0"
"18217175","46","Desconhecido","8297","SC","47","Desconhecido","0.0"
"18217185","14","Desconhecido","3569","BA","77","Desconhecido","0.0"
"18217195","976","Desconhecido","2323","PE","87","Desconhecido","0.0"
"18217207","386","Desconhecido","7191","SP","15","Desconhecido","0.0"
"09264829","52","Desconhecido","3965","BA","77","Desconhecido","0.0"
"18217229","S/N","Desconhecido","6307","SP","11","Desconhecido","0.0"
"18217243","1008","Desconhecido","9185","MT","65","Desconhecido","0.0"
"18217255","574","Desconhecido","4033","MG","33","Desconhecido","0.0"
"10325804","1034","Desconhecido","3965","BA","77","Desconhecido","0.0"
"18217278","157","Desconhecido","2705","AL","82","Desconhecido","0.0"
"18217292","290","Desconhecido","5035","MG","35","Desconhecido","0.0"
"17281815","s,n","Desconhecido","3407","BA","75","Desconhecido","0.0"
"18217314","SN","Desconhecido","1385","CE","88","Desconhecido","0.0"
"18217325","1515","Desconhecido","8801","RS","51","Desconhecido","0.0"
"18217337","1750","Desconhecido","7701","PR","45","Desconhecido","0.0"
"18217353","332","Desconhecido","7131","SP","16","Desconhecido","0.0"
"18217362","83","Desconhecido","6565","SP","15","Desconhecido","0.0"
"18217369","342","Desconhecido","2927","RJ","24","Desconhecido","0.0"
"18217378","224","Desconhecido","1389","CE","85","Desconhecido","0.0"
"18217388","S/N","Desconhecido","8877","RS","51","Desconhecido","0.0"
"18063110","60","Desconhecido","0427","PA","99","Desconhecido","0.0"
"08247525","654","Desconhecido","8909","RS","54","Desconhecido","0.0"
"18217424","423","Desconhecido","6327","SP","17","Desconhecido","0.0"
"18459628","SN","Desconhecido","1441","CE","11","Desconhecido","0.0"
"18217441","241","Desconhecido","2607","PE","81","Desconhecido","0.0"
"18063110","1158","Desconhecido","0415","PA","99","Desconhecido","0.0"
"18063110","3132","Desconhecido","0447","PA","99","Desconhecido","0.0"
"18217478","80","Desconhecido","2323","PE","87","Desconhecido","0.0"
"18217488","335","Desconhecido","1643","RN","84","Desconhecido","0.0"
"18217501","09","Desconhecido","2491","PE","81","Desconhecido","0.0"
"18217514","1659","Desconhecido","2943","SP","18","Desconhecido","0.0"
"18217528","721","Desconhecido","7971","PR","45","Desconhecido","0.0"
"18217536","1620","Desconhecido","1389","CE","85","Desconhecido","0.0"
"18217548","1185","Desconhecido","8801","RS","51","Desconhecido","0.0"
"18217560","777","Desconhecido","6331","SP","15","Desconhecido","0.0"
"17901684","10","Desconhecido","9701","DF","61","Desconhecido","0.0"
"15738691","578","Desconhecido","5403","MG","34","Desconhecido","0.0"
"18217591","960","Desconhecido","2531","PE","81","Desconhecido","0.0"
"18217603","S/N","Desconhecido","6185","SP","14","Desconhecido","0.0"
"18217611","S/N","Desconhecido","6621","SP","18","Desconhecido","0.0"
"18217622","986","Desconhecido","4865","MG","38","Desconhecido","0.0"
"18217635","842","Desconhecido","6527","SP","16","Desconhecido","0.0"
"18217644","167","Desconhecido","0686","MG","33","Desconhecido","0.0"
"18217658","68","Desconhecido","5901","RJ","21","Desconhecido","0.0"
"18217668","100","Desconhecido","7533","PR","42","Desconhecido","0.0"
"18217681","287","Desconhecido","7145","SP","15","Desconhecido","0.0"
"18217694","47","Desconhecido","3317","BA","73","Desconhecido","0.0"
"18217705","150","Desconhecido","2381","PE","81","Desconhecido","0.0"
"18217719","156","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18217728","962","Desconhecido","7529","PR","44","Desconhecido","0.0"
"18217743","471","Desconhecido","6477","SP","11","Desconhecido","0.0"
"18217754","1563","Desconhecido","5703","ES","27","Desconhecido","0.0"
"18217764","2414","Desconhecido","9051","MS","67","Desconhecido","0.0"
"18217776","18","Desconhecido","5703","ES","27","Desconhecido","0.0"
"18217788","604","Desconhecido","0671","AP","96","Desconhecido","0.0"
"18217800","60","Desconhecido","2357","PE","81","Desconhecido","0.0"
"18217814","8010","Desconhecido","4285","MG","34","Desconhecido","0.0"
"18217829","3170","Desconhecido","1389","CE","85","Desconhecido","0.0"
"18217843","570","Desconhecido","2521","PE","87","Desconhecido","0.0"
"18217855","112","Desconhecido","8659","RS","51","Desconhecido","0.0"
"18217866","429","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18217879","199","Desconhecido","6493","SP","16","Desconhecido","0.0"
"18217894","910","Desconhecido","8771","RS","51","Desconhecido","0.0"
"18217908","295","Desconhecido","1389","CE","85","Desconhecido","0.0"
"18217918","365","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18217931","584","Desconhecido","4985","MG","31","Desconhecido","0.0"
"18217944","N01","Desconhecido","2871","AL","82","Desconhecido","0.0"
"18217955","199","Desconhecido","6361","SP","11","Desconhecido","0.0"
"18217964","sn","Desconhecido","2051","PB","83","Desconhecido","0.0"
"18217979","169","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18217988","S/N","Desconhecido","6603","SP","16","Desconhecido","0.0"
"18217997","73","Desconhecido","9373","GO","62","Desconhecido","0.0"
"11633767","223","Desconhecido","5897","RJ","21","Desconhecido","0.0"
"18218019","80","Desconhecido","7691","PR","44","Desconhecido","0.0"
"18218031","142","Desconhecido","2531","PE","81","Desconhecido","0.0"
"18218043","1230","Desconhecido","5897","RJ","21","Desconhecido","0.0"
"11496607","877","Desconhecido","8767","RS","54","Desconhecido","0.0"
"18218064","1633","Desconhecido","7691","PR","44","Desconhecido","0.0"
"16614075","5015","Desconhecido","1559","CE","31","Desconhecido","0.0"
"08024475","S/N","Desconhecido","6527","SP","16","Desconhecido","0.0"
"18218095","30","Desconhecido","2785","AL","82","Desconhecido","0.0"
"18218108","412","Desconhecido","7563","PR","45","Desconhecido","0.0"
"18218124","10","Desconhecido","3849","BA","71","Desconhecido","0.0"
"18218136","521","Desconhecido","4017","MG","33","Desconhecido","0.0"
"18218146","39","Desconhecido","4123","MG","31","Desconhecido","0.0"
"18218160","00","Desconhecido","5449","PR","41","Desconhecido","0.0"
"18218173","1432","Desconhecido","4077","MG","37","Desconhecido","0.0"
"18218185","275","Desconhecido","0427","PA","91","Desconhecido","0.0"
"18218195","641","Desconhecido","6249","SP","14","Desconhecido","0.0"
"17325495","385 A","Desconhecido","2513","PE","81","Desconhecido","0.0"
"47673793","S/N","Desconhecido","5699","ES","27","Desconhecido","0.0"
"18218231","847","Desconhecido","8577","RS","0","Desconhecido","0.0"
"18218244","2035","Desconhecido","6425","SP","16","Desconhecido","0.0"
"18218257","710","Desconhecido","6425","SP","16","Desconhecido","0.0"
"18218272","225","Desconhecido","4141","MG","35","Desconhecido","0.0"
"18218287","63","Desconhecido","3105","SE","79","Desconhecido","0.0"
"09066759","300 -D","Desconhecido","8081","SC","49","Desconhecido","0.0"
"18218310","546","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18218319","320","Desconhecido","5035","MG","35","Desconhecido","0.0"
"18218333","420","Desconhecido","2949","SP","19","Desconhecido","0.0"
"18218344","1557","Desconhecido","5035","MG","19","Desconhecido","0.0"
"18218357","68","Desconhecido","8817","RS","51","Desconhecido","0.0"
"18218369","101","Desconhecido","4371","MG","31","Desconhecido","0.0"
"08024475","S/N","Desconhecido","6527","SP","16","Desconhecido","0.0"
"18218387","130","Desconhecido","8933","RS","51","Desconhecido","0.0"
"18218400","1916","Desconhecido","8955","RS","51","Desconhecido","0.0"
"18218414","oooooo","Desconhecido","7679","PR","41","Desconhecido","0.0"
"18218428","180","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18218439","455","Desconhecido","6001","RJ","21","Desconhecido","0.0"
"18218452","1766","Desconhecido","0411","PA","93","Desconhecido","0.0"
"18218464","43","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18218477","257","Desconhecido","2039","PB","83","Desconhecido","0.0"
"18218489","1640","Desconhecido","8729","RS","51","Desconhecido","0.0"
"18218501","110","Desconhecido","6547","SP","15","Desconhecido","0.0"
"18218515","1569","Desconhecido","6269","SP","11","Desconhecido","0.0"
"18218525","155","Desconhecido","1413","CE","85","Desconhecido","0.0"
"18218539","248","Desconhecido","7143","SP","19","Desconhecido","0.0"
"18218553","30","Desconhecido","7099","SP","12","Desconhecido","0.0"
"18218565","1282","Desconhecido","7107","SP","11","Desconhecido","0.0"
"12903430","1200","Desconhecido","8589","RS","51","Desconhecido","0.0"
"18218588","719","Desconhecido","2051","PB","83","Desconhecido","0.0"
"18218600","SN","Desconhecido","4125","MG","31","Desconhecido","0.0"
"18218613","380","Desconhecido","4371","MG","31","Desconhecido","0.0"
"18218623","1515B","Desconhecido","1247","CE","85","Desconhecido","0.0"
"18218633","135","Desconhecido","7107","SP","11","Desconhecido","0.0"
"13815929","327","Desconhecido","1459","CE","88","Desconhecido","0.0"
"18218659","08","Desconhecido","9733","TO","63","Desconhecido","0.0"
"18218672","0","Desconhecido","9297","GO","62","Desconhecido","0.0"
"18218686","78","Desconhecido","2781","AL","82","Desconhecido","0.0"
"18218696","1630","Desconhecido","1389","CE","85","Desconhecido","0.0"
"18218710","75B","Desconhecido","6229","SP","18","Desconhecido","0.0"
"18218723","S/N","Desconhecido","6703","SP","11","Desconhecido","0.0"
"18218737","574","Desconhecido","1351","CE","88","Desconhecido","0.0"
"18218749","19005","Desconhecido","6001","RJ","61","Desconhecido","0.0"
"18218761","630","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18218772","96","Desconhecido","2477","PE","81","Desconhecido","0.0"
"18218788","207","Desconhecido","8801","RS","51","Desconhecido","0.0"
"18218803","941","Desconhecido","8717","RS","51","Desconhecido","0.0"
"18218812","14","Desconhecido","7107","SP","11","Desconhecido","0.0"
"18218828","1022","Desconhecido","1389","CE","85","Desconhecido","0.0"
"18218840","03","Desconhecido","7107","SP","11","Desconhecido","0.0"
"12248321","1449","Desconhecido","0255","AM","92","Desconhecido","0.0"
"18218864","748","Desconhecido","6511","SP","19","Desconhecido","0.0"
"18218876","670","Desconhecido","2577","PE","87","Desconhecido","0.0"
"18218887","1626","Desconhecido","6969","SP","19","Desconhecido","0.0"
"18218897","260","Desconhecido","6177","SP","11","Desconhecido","0.0"
"18218906","SN","Desconhecido","8525","RS","53","Desconhecido","0.0"
"18218919","1020","Desconhecido","7113","SP","11","Desconhecido","0.0"
"09526483","601","Desconhecido","2051","PB","83","Desconhecido","0.0"
"18218943","1322","Desconhecido","1219","PI","86","Desconhecido","0.0"
"18218954","qd126","Desconhecido","3849","BA","71","Desconhecido","0.0"
"18218967","88","Desconhecido","7095","SP","19","Desconhecido","0.0"
"18218979","42","Desconhecido","7107","SP","11","Desconhecido","0.0"
"13684001","SN","Desconhecido","9701","DF","61","Desconhecido","0.0"
"18219001","161","Desconhecido","1389","CE","85","Desconhecido","0.0"
