"cnpj_basico","cnae_principal","cep","bairro","municipio","capital_social"
"18107973","01","30","PROJETADA 01","RUA","0.0"
"18107989","01","S/N","MARQUEZ DE LAJES","RUA","0.0"
"18108004","00","666","DOS TAMOIOS","RUA","0.0"
"18108016","63","160","MAGALHAES CASTRO","RUA","0.0"
"18108024","00","86","THEREZA MOREIRA PASTORI","RUA","0.0"
"18108039","00","121","JOAO PAULO II","AVENIDA","0.0"
"16444643","01","404","DR SEBASTIAO MARTINS","PRACA","0.0"
"18108064","00","930","ITAGUAI","AVENIDA","0.0"
"18108075","67","11","FERNANDES DE SOUSA","RUA","0.0"
"13045575","01","575","CANDIDO FONTOURA","RUA","0.0"
"15481503","02","700","LEOPOLDO COUTO DE MAGALHAES JUNIOR","RUA","0.0"
"18108112","01","6041","JOSE VIEIRA CAULA","AVENIDA","0.0"
"18108123","01","200","SAO BENTO","RUA","0.0"
"18108133","63","1409","VINTE E QUATRO DE OUTUBRO","RUA","0.0"
"18108146","67","28","SETE","RUA","0.0"
"18108155","01","158","ALUISIO DE AZEVEDO","RUA","0.0"
"18108169","00","320","DOS TUPIS","RUA","0.0"
"18108182","63","82","FRANCISCO DA CRUZ MELLO","RUA","0.0"
"18108196","63","66","SEVERINO DE ALMEIDA","RUA","0.0"
"18108205","63","176","JOSE HIPOLITO XAVIER","RUA","0.0"
"11925896","00","38","VITORIO SARDI","RUA","0.0"
"18108223","00","510","EDGAR","RUA","0.0"
"09619200","00","S/N","AC VARZEA DAS CACIMBAS","RUA","0.0"
"18108250","67","1715","FLACIDES FERREIRA","AVENIDA","0.0"
"17211950","00","1959","MARECHAL DEODORO DA FONSECA","RUA","0.0"
"18108269","75","3654","HENRIQUE DUQUE ESTRADA MAYER","AVENIDA","0.0"
"91110486","00","45","ARTHUR LEHNEN","RUA","0.0"
"18108293","01","88","PAUL HARRIS","AVENIDA","0.0"
"18108309","01","134","JOSE ELIAS DE PAIVA","RUA","0.0"
"18108319","01","118","DA CANDELARIA","RUA","0.0"
"18108334","01","418","PORTO NACIONAL","ESTRADA","0.0"
"18108344","00","529","FLORINDA MARTINS BARBOSA","AVENIDA","0.0"
"18108355","01","824","GOIANIA (COM S PEDRO)","RUA","0.0"
"18108367","01","5034","INDEPENDENCIA","AVENIDA","0.0"
"18108380","63","63","EVANGELISTA","RUA","0.0"
"18108395","67","350","Brasilia","RUA","0.0"
"18108406","00","5515","DOUTOR JOAO MEDEIROS FILHO","AVENIDA","0.0"
"18108419","01","741","KENNEDY","AVENIDA","0.0"
"18108429","01","497","BOM PASTOR","ALAMEDA","0.0"
"18108442","00","110","MACAMBIRA","AVENIDA","0.0"
"18108454","63","196","JOSE GOMES DOMINGUES","RUA","0.0"
"18108465","67","28","02","AVENIDA","0.0"
"18108477","00","60","ELIAS ANTONIO FILHO","PRACA","0.0"
"18108493","01","206","SAO JOAO","RUA","0.0"
"18108505","01","1368","SALVATORI","RUA","0.0"
"18108518","01","500","CABOCLO BAUBINO","RUA","0.0"
"18108531","01","432","AURORA","RUA","0.0"
"17557039","01","527","TEODORO WANDERLEI","RUA","0.0"
"18108557","01","525","PADRE BOSS","RUA","0.0"
"18108568","01","1.240","ANTONIO DE CARVALHO","RUA","0.0"
"18108581","00","10","LISBOA","RUA","0.0"
"18108596","00","172","COLOMBIA","RUA","0.0"
"18108607","00","31","DA ECONOMIA","RUA","0.0"
"18108622","01","257","DRACENA","AVENIDA","0.0"
"18108633","00","221","DOMINGOS ROSOLIA","RUA","0.0"
"18108644","00","457","DOM LUIS DE CASTRO PEREIRA","RUA","0.0"
"18108659","67","52","TURQUIA (JD DOIS MELROS)","RUA","0.0"
"18108668","01","609","RIO BRANCO","AVENIDA","0.0"
"18108681","63","28","JARDIM JAPAO","AVENIDA","0.0"
"18108694","63","905","MARINHO TAVARES","RUA","0.0"
"18108706","00","0","ANTONIO S. DA SILVA","RUA","0.0"
"18108719","00","1208","RIO GRANDE DO SUL","RUA","0.0"
"18108732","00","110","LUIZ FERNANDES MUSETTI","RUA","0.0"
"18108745","00","134","BRASILIA","AVENIDA","0.0"
